,Advance,Hold / Recycle,Switch Left,Switch Right,High Press,Low Block,Shoot,Dribble,Through Ball,Cross,Play Out
Advance,0.06541474163532257,0.00257129967212677,0.05643908306956291,0.01796245574951172,0.012925311923027039,0.029407741501927376,0.03251032531261444,0.08776635676622391,0.049021605402231216,0.017747849225997925,0.004814382642507553
Hold / Recycle,-0.03817254304885864,0.06578876823186874,0.01692265272140503,0.05514585226774216,0.014039767906069756,0.070031076669693,0.06289082765579224,0.08492709696292877,-0.031546451151371,0.1271817535161972,0.05701679736375809
Switch Left,-0.09214375913143158,-0.0005611460655927658,-0.07924848049879074,-0.01171505730599165,-0.05413730815052986,-0.01307210698723793,-0.03202931210398674,-0.032221999019384384,-0.030246615409851074,0.031089745461940765,0.02357340417802334
Switch Right,-0.01083312276750803,0.035832442343235016,0.01754155568778515,0.02417134866118431,0.014372093603014946,0.05220840871334076,0.060963224619627,0.07410480827093124,-0.030186746269464493,0.09145496785640717,0.028971754014492035
High Press,-0.07984185218811035,0.04075443744659424,-0.036460038274526596,0.030073700472712517,-0.0432966984808445,0.03507396578788757,4.105363041162491e-05,0.03525763005018234,-0.07880564033985138,0.0757119357585907,0.02701382339000702
Low Block,-0.006171497516334057,0.030921729281544685,0.029192794114351273,0.021890245378017426,-0.0014605764299631119,0.04906238988041878,0.04806485027074814,0.09830358624458313,-0.03568651154637337,0.08910715579986572,0.013319384306669235
Shoot,-0.013073189184069633,-0.03500106558203697,-0.0647088810801506,-0.04443725571036339,-0.022745968773961067,-0.05891558527946472,-0.053760167211294174,-0.10608667135238647,0.020498201251029968,-0.07657168805599213,-0.014482775703072548
Dribble,0.08827579021453857,-0.04289993643760681,0.055095404386520386,-0.04410950094461441,0.05425393581390381,-0.04455980286002159,-0.0052444711327552795,-0.03882529214024544,0.047132328152656555,-0.09071110188961029,-0.056333236396312714
Through Ball,0.04623729735612869,0.019526515156030655,0.06383465230464935,0.06714733690023422,0.05338951200246811,0.03229735791683197,0.019232971593737602,0.02043060213327408,0.05696834251284599,-0.017867112532258034,0.026534445583820343
Cross,0.005336306989192963,-0.02400558814406395,-0.024112707003951073,-0.01045265980064869,0.004930531606078148,-0.042167894542217255,-0.04494605213403702,-0.0936664491891861,0.03455068916082382,-0.08294345438480377,-0.008901686407625675
Play Out,0.07340827584266663,0.0013484321534633636,0.10200665146112442,0.0015041213482618332,0.054796457290649414,0.02401174232363701,0.04452323168516159,0.06899604201316833,0.008194711990654469,0.011073864996433258,-0.034657035022974014
