player_slot,mean_impact,std_impact,impact_s2,impact_s3,impact_shot
0,0.0405719168484211,0.04715435579419136,0.013834856450557709,0.008085548877716064,0.07355836778879166
1,0.009049177169799805,0.01093967817723751,0.0019095017341896892,0.002753341570496559,0.02505100704729557
6,0.007585594896227121,0.009372619912028313,0.0022270209155976772,0.0048890672624111176,0.012686073780059814
7,0.0074601322412490845,0.010040940716862679,0.0018588027451187372,0.0036299931816756725,0.013511290773749352
2,0.00737037044018507,0.008802464231848717,0.0014960210537537932,0.002989523345604539,0.01998254656791687
5,0.007292958442121744,0.009872803464531898,0.001894349348731339,0.004787289537489414,0.011617150157690048
8,0.0072717382572591305,0.009132777340710163,0.002056577242910862,0.0035918140783905983,0.012965815141797066
3,0.007158061023801565,0.009633001871407032,0.0016776415286585689,0.0033747446723282337,0.016434194520115852
9,0.00709361769258976,0.008887422271072865,0.0020785301458090544,0.003819985082373023,0.012869853526353836
4,0.007051604799926281,0.010577056556940079,0.0013695682864636183,0.003883978119120002,0.014060115441679955
10,0.006278536282479763,0.008450902067124844,0.0019133888417854905,0.003164706751704216,0.011600431054830551
11,0.005444609560072422,0.007348902523517609,0.0018967129290103912,0.0029274611733853817,0.010269634425640106
12,0.004035294521600008,0.006759978365153074,0.0015079182339832187,0.0020593919325619936,0.007852268405258656
13,0.002799658104777336,0.005467744078487158,0.0010183893609791994,0.0017398964846506715,0.0049572717398405075
14,0.0021724184043705463,0.004660434555262327,0.0008404411491937935,0.0015017716214060783,0.0040288944728672504
15,0.0014014759799465537,0.004953738767653704,0.00048565163160674274,0.0008275705622509122,0.0025481218472123146
16,0.0007645864388905466,0.003649540711194277,0.00027345746639184654,0.0004499438509810716,0.0013611098984256387
17,0.00030846914160065353,0.001887862104922533,0.0001128903022618033,0.00026899308431893587,0.00045738951303064823
18,6.802605639677495e-05,0.0009001581347547472,1.4204681065166369e-05,8.002683171071112e-05,0.00013174563355278224
19,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0
